web-scraper-order,web-scraper-start-url,detail,detail-href,title,question,answer,votes,answers
1666768298-316,https://stackoverflow.com/questions/tagged/visual-studio-code?tab=frequent&page=9&pagesize=15,"Visual studio code terminal, how to run a command with administrator rights?",https://stackoverflow.com/questions/37700536/visual-studio-code-terminal-how-to-run-a-command-with-administrator-rights,"Visual studio code terminal, how to run a command with administrator rights?","The new version 1.2.0 include a terminal, but when I try to install any pack with node I get the npm ERR! code EPERM that I usually solve right clicking and running it as administrator. So how I do that in the vscode terminal? There is something like sudo for linux?","Option 1 - Easier & Persistent

Running Visual Studio Code as Administrator should do the trick.

If you're on Windows you can:


Right click the shortcut or app/exe
Go to properties
Compatibility tab
Check ""Run this program as an administrator""


There is a caveat to it though

Make sure you have all other instances of VS Code closed and then try to run as Administrator. The electron framework likes to stall processes when closing them so it's best to check your task manager and kill the remaining processes.

Related Changes in Codebase


https://visualstudio.uservoice.com/forums/293070-visual-studio-code/suggestions/8915236-visual-code-w-terminal-integrated-and-super-admin
https://github.com/Microsoft/vscode/issues/7407


Option 2 - More like Sudo

If for some weird reason this is not running your commands as an Administrator you can try the runas command. Microsoft: runas command

Examples


runas /user:Administrator myCommand
runas ""/user:First Last"" ""my command""


Notes


Just don't forget to put double quotes around anything that has a space in it.
Also it's quite possible that you have never set the password on the Administrator account, as it will ask you for the password when trying to run the command. You can always use an account without the username of Administrator if it has administrator access rights/permissions.",154,7
1666768324-317,https://stackoverflow.com/questions/tagged/visual-studio-code?tab=frequent&page=9&pagesize=15,How can I clear the terminal in Visual Studio Code?,https://stackoverflow.com/questions/48713604/how-can-i-clear-the-terminal-in-visual-studio-code,How can I clear the terminal in Visual Studio Code?,I need to clean the contents of the terminal in Visual Studio Code.,"Use Ctrl+K. This goes clean your console in Visual Studio Code.
Per comments, in later versions of VSCode (1.29 and above) this shortcut is missing / needs to be created manually.

Navigate: File > Preferences > Keyboard Shortcuts
search for workbench.action.terminal.clear
If it has no mapping or you wish to change the mapping, continue; otherwise note & use the existing mapping
Double click on this entry & you'll be prompted for a key binding.  Hold CTRL and tap K.  Ctrl + K should now be listed.  Press enter to save this mapping
Right click the entry and select Change when expression.  Type terminalFocus then press enter.
That's it.  Now, when the terminal is in focus and you press Ctrl+K you'll get the behaviour you'd have expected to get from running clear/cls.",297,33
1666768350-318,https://stackoverflow.com/questions/tagged/visual-studio-code?tab=frequent&page=9&pagesize=15,Error: 'types' can only be used in a .ts file - Visual Studio Code using @ts-check,https://stackoverflow.com/questions/48859169/error-types-can-only-be-used-in-a-ts-file-visual-studio-code-using-ts-che,Error: 'types' can only be used in a .ts file - Visual Studio Code using @ts-check,"I am starting to use TypeScript in a Node project I am working on in Visual Studio Code. I wanted to follow the ""opt-in"" strategy, similar to Flow. Therefore I put // @ts-check at the top of my .js file in hope to enable TS for that file. Ultimately I want the same experience of ""linting"" as Flow, therefore I installed the plugin TSLint so I could see Intellisense warnings/errors.","I'm using flow with vscode but had the same problem.  I solved it with these steps:

Install the extension Flow Language Support

Disable the built-in TypeScript extension:

Go to Extensions tab
Search for @builtin TypeScript and JavaScript Language Features
Click on Disable",202,10
1666768376-319,https://stackoverflow.com/questions/tagged/visual-studio-code?tab=frequent&page=9&pagesize=15,How to add more indentation in the Visual Studio code explorer file tree structure?,https://stackoverflow.com/questions/55310734/how-to-add-more-indentation-in-the-visual-studio-code-explorer-file-tree-structu,How to add more indentation in the Visual Studio code explorer file tree structure?,How to add more indentation in a file tree structure? It has a little bit indentation I want to increase more just like NetBeans.,"Go to File > Preference > Settings and choose:

Workbench › Tree: Indent
Controls tree indentation in pixels.

or (in your settings.json enter this directly)
 ""workbench.tree.indent"": 10

and choose a high enough number for you.
Also see my answer at Visual Studio code sidebar Vertical guideline (customize sidebar) where with v1.36 you can add colorized tree indent guides to make the explorer file structure more obvious.

The example picture uses: ""tree.indentGuidesStroke"": ""#00ff00"" in the colorCustomizations, so the guidelines will appear green.
{                                         // in settings.json
  ""workbench.colorCustomizations"": {
    ""tree.indentGuidesStroke"": ""#00ff00""
}


In a small change coming to v1.64 note that the minimum tree indent will be raised to 4 from 0 previously.  So you will not be able to go less than 4.",371,6
1666768402-320,https://stackoverflow.com/questions/tagged/visual-studio-code?tab=frequent&page=9&pagesize=15,Is there a way to remove unused imports and declarations from Angular 2+? [closed],https://stackoverflow.com/questions/46722701/is-there-a-way-to-remove-unused-imports-and-declarations-from-angular-2,Is there a way to remove unused imports and declarations from Angular 2+? [closed],"We don’t allow questions seeking recommendations for books, tools, software libraries, and more. You can edit the question so it can be answered with facts and citations.","Edit (as suggested in comments and other people), Visual Studio Code has evolved and provides this functionality in-built as the command ""Organize imports"", with the following default keyboard shortcuts:

option+Shift+O for Mac

 Alt  +  Shift  + O for Windows



Original answer:

I hope this visual studio code extension will suffice your need: https://marketplace.visualstudio.com/items?itemName=rbbit.typescript-hero

It provides following features:


Add imports of your project or libraries to your current file
Add an import for the current name under the cursor
Add all missing imports of a file with one command
Intellisense that suggests symbols and automatically adds the needed imports
""Light bulb feature"" that fixes code you wrote
Sort and organize your imports (sort and remove unused)
Code outline view of your open TS / TSX document
All the cool stuff for JavaScript as well! (experimental stage though, better description below.)


For Mac: control+option+o

For Win: Ctrl+Alt+o",288,6
1666768428-321,https://stackoverflow.com/questions/tagged/visual-studio-code?tab=frequent&page=9&pagesize=15,How do I find and replace all occurrences (in all files) in Visual Studio Code?,https://stackoverflow.com/questions/37346481/how-do-i-find-and-replace-all-occurrences-in-all-files-in-visual-studio-code,How do I find and replace all occurrences (in all files) in Visual Studio Code?,I can't figure out how to find and replace all occurrences of a word in different files using Visual Studio Code version 1.0.,"I'm using Visual Studio Code 1.8, and this feature is available. But it's a little tricky to understand at first, and (at the time of writing) the docs don't explain clearly how to use it, so here's how it works, step by step:
Invoke Replace in Files (under the Edit menu, or with shortcut Ctrl+Shift+H)
You'll see a standard Find/Replace input replacing the files pane on the left:

Enter your search string and the replace string, then press enter. It may churn for a second searching all files, then it'll show the proposed changes in all your project files -- but note, these changes haven't been made yet! Here's what it looks like:

Now you need to make the changes (and even after that, you have to save the modified files.)
You can make those changes in various ways:

Make all changes to all files at once.


Click the replace icon next to your replace string (note: you'll get a dialog to confirm this bulk action.)


Make all changes in a single file at once.


Click the replace icon next to the filename (note: the icon only shows up when you hover over the filename row)


Make a single change in a single file.


Click the replace icon next to the individual change: (note: the icon only shows up when you hover over the change row)

Finally, don't forget to save!
All those files are now modified in the editor and not yet saved to disk (unless Auto Save is on).
Use File -> Save All (or Ctrl+Alt+S)
Update: I'm not sure when this was added, but if you click the ""Replace all"" button and see this dialog, clicking ""Replace"" will change and save all files in one click:",498,9
1666768454-322,https://stackoverflow.com/questions/tagged/visual-studio-code?tab=frequent&page=9&pagesize=15,Show whitespace characters in Visual Studio Code,https://stackoverflow.com/questions/30140595/show-whitespace-characters-in-visual-studio-code,Show whitespace characters in Visual Studio Code,"Is it possible to show whitespace characters, like the space character, in Visual Studio Code?","VS Code 1.6.0 and Greater
As mentioned by aloisdg below, editor.renderWhitespace is now an enum taking either none, boundary or all. To view all whitespaces:
""editor.renderWhitespace"": ""all"", 

Before VS Code 1.6.0
Before 1.6.0, you had to set editor.renderWhitespace to true:
""editor.renderWhitespace"": true",627,13
1666768480-323,https://stackoverflow.com/questions/tagged/visual-studio-code?tab=frequent&page=9&pagesize=15,Should I commit the .vscode folder to source control?,https://stackoverflow.com/questions/32964920/should-i-commit-the-vscode-folder-to-source-control,Should I commit the .vscode folder to source control?,Is the .vscode folder meant to be committed to source control?,"Check in the .vscode folder if you want to share settings, task configuration and debug configuration with the team. I think generally it makes sense to share settings (e.g. whitespace vs tabs) with the team if you want to enforce settings in a team. We in the VS Code team share debug and task specific settings as well because we want our team to have the same set of debug targets and task targets for VS Code.

Btw you do not need to have a .vscode folder in your project for settings. You can also configure settings on a user level.",546,9
1666768506-324,https://stackoverflow.com/questions/tagged/visual-studio-code?tab=frequent&page=9&pagesize=15,How to do tag wrapping in VS code?,https://stackoverflow.com/questions/40155875/how-to-do-tag-wrapping-in-vs-code,How to do tag wrapping in VS code?,"I would like to wrap my selected html within a tag in VS code. 
How do I do that?","Embedded Emmet could do the trick:

Select text (optional)
Open command palette (usually Ctrl+Shift+P)
Execute Emmet: Wrap with Abbreviation
Enter a tag div (or an abbreviation .wrapper>p)
Hit Enter

Command can be assigned to a keybinding.


This thing even supports passing arguments:
{
    ""key"": ""ctrl+shift+9"",
    ""command"": ""editor.emmet.action.wrapWithAbbreviation"",
    ""when"": ""editorHasSelection"",
    ""args"": {
        ""abbreviation"": ""span"",
    },
},

Use it like this:

span.myCssClass
span#myCssId
b
b.myCssClass",330,8
1666768531-325,https://stackoverflow.com/questions/tagged/visual-studio-code?tab=frequent&page=9&pagesize=15,How can you create multiple cursors in Visual Studio Code,https://stackoverflow.com/questions/29953479/how-can-you-create-multiple-cursors-in-visual-studio-code,How can you create multiple cursors in Visual Studio Code,What are the keyboard shortcuts for creating multiple cursors in VS Code?,"Press Alt and click. This works on Windows and Linux*, and it should work on Mac, too.

More multi-cursor features are now available in Visual Studio Code 0.2:


  Multi cursor improvements

  Ctrl+D (Cmd+D on Mac) selects next occurrence of word under cursor or of the current selection

  Ctrl+K Ctrl+D moves last added cursor to next occurrence of word under cursor or of the current selection

  The commands use matchCase by default. If the find widget is open, then the find widget settings (matchCase / matchWholeWord) will be used for determining the next occurrence

  Ctrl+U (Cmd+U on Mac) undoes the last cursor action, so if you added a cursor too many or made a mistake, you can press Ctrl+U (Cmd+U on Mac) to go back to the previous cursor state.
  Adding cursor up or down (Ctrl+Alt+Up / Ctrl+Alt+Down) (Cmd+Alt+Up / Cmd+Alt+Down on Mac) now reveals the last added cursor to make it easier to work with multiple cursors on more than 1 viewport height at a time (i.e. select 300 lines and only 80 fit in the viewport).  
  
  This makes it a lot easier to introduce multiple cursors


* Linux drag-window conflict:


  Some distros (e.g. Ubuntu) assign window dragging to Alt+LeftMouse, which will conflict with VSCode.
  
  So, recent versions of VSCode let you toggle between Alt+LeftMouse and Ctrl+LeftMouse under the Selection menu, as detailed in another answer.
  
  Alternately, you could change your OS key bindings using gsettings as mentioned in another answer.",762,23
